Created as New Dataset,Sample 000 By Administrator Date Thursday, December 10 2020
cm-1,%T
4000.00,95.95
3999.00,95.95
3998.00,95.94
3997.00,95.91
3996.00,95.88
3995.00,95.86
3994.00,95.85
3993.00,95.86
3992.00,95.86
3991.00,95.86
3990.00,95.84
3989.00,95.83
3988.00,95.83
3987.00,95.85
3986.00,95.88
3985.00,95.91
3984.00,95.93
3983.00,95.94
3982.00,95.95
3981.00,95.95
3980.00,95.95
3979.00,95.94
3978.00,95.92
3977.00,95.91
3976.00,95.90
3975.00,95.89
3974.00,95.88
3973.00,95.87
3972.00,95.87
3971.00,95.89
3970.00,95.91
3969.00,95.92
3968.00,95.92
3967.00,95.91
3966.00,95.89
3965.00,95.88
3964.00,95.87
3963.00,95.88
3962.00,95.92
3961.00,95.97
3960.00,96.02
3959.00,96.04
3958.00,96.03
3957.00,96.00
3956.00,95.96
3955.00,95.93
3954.00,95.89
3953.00,95.85
3952.00,95.80
3951.00,95.77
3950.00,95.77
3949.00,95.80
3948.00,95.84
3947.00,95.87
3946.00,95.90
3945.00,95.93
3944.00,95.96
3943.00,95.98
3942.00,96.00
3941.00,96.01
3940.00,96.02
3939.00,96.03
3938.00,96.03
3937.00,96.01
3936.00,95.98
3935.00,95.93
3934.00,95.89
3933.00,95.86
3932.00,95.86
3931.00,95.89
3930.00,95.93
3929.00,95.97
3928.00,96.01
3927.00,96.04
3926.00,96.06
3925.00,96.07
3924.00,96.06
3923.00,96.03
3922.00,96.00
3921.00,95.99
3920.00,96.00
3919.00,96.03
3918.00,96.05
3917.00,96.03
3916.00,95.99
3915.00,95.94
3914.00,95.92
3913.00,95.91
3912.00,95.93
3911.00,95.95
3910.00,95.96
3909.00,95.97
3908.00,95.98
3907.00,95.99
3906.00,96.00
3905.00,96.01
3904.00,96.02
3903.00,96.03
3902.00,96.03
3901.00,96.04
3900.00,96.04
3899.00,96.04
3898.00,96.05
3897.00,96.07
3896.00,96.11
3895.00,96.15
3894.00,96.19
3893.00,96.22
3892.00,96.21
3891.00,96.15
3890.00,96.08
3889.00,96.01
3888.00,95.97
3887.00,95.99
3886.00,96.06
3885.00,96.14
3884.00,96.18
3883.00,96.18
3882.00,96.15
3881.00,96.10
3880.00,96.03
3879.00,95.95
3878.00,95.88
3877.00,95.84
3876.00,95.86
3875.00,95.92
3874.00,96.00
3873.00,96.05
3872.00,96.08
3871.00,96.09
3870.00,96.10
3869.00,96.10
3868.00,96.08
3867.00,96.02
3866.00,95.94
3865.00,95.85
3864.00,95.79
3863.00,95.79
3862.00,95.82
3861.00,95.87
3860.00,95.92
3859.00,95.95
3858.00,95.96
3857.00,95.94
