Created as New Dataset,Sample 000 By Administrator Date Tuesday, December 15 2020
cm-1,%T
4000.00,96.28
3999.00,96.25
3998.00,96.20
3997.00,96.17
3996.00,96.15
3995.00,96.16
3994.00,96.18
3993.00,96.20
3992.00,96.21
3991.00,96.25
3990.00,96.30
3989.00,96.36
3988.00,96.40
3987.00,96.41
3986.00,96.38
3985.00,96.35
3984.00,96.33
3983.00,96.30
3982.00,96.25
3981.00,96.19
3980.00,96.14
3979.00,96.14
3978.00,96.19
3977.00,96.26
3976.00,96.33
3975.00,96.35
3974.00,96.34
3973.00,96.31
3972.00,96.32
3971.00,96.36
3970.00,96.42
3969.00,96.47
3968.00,96.51
3967.00,96.52
3966.00,96.50
3965.00,96.42
3964.00,96.29
3963.00,96.14
3962.00,96.03
3961.00,96.01
3960.00,96.06
3959.00,96.14
3958.00,96.19
3957.00,96.19
3956.00,96.16
3955.00,96.16
3954.00,96.19
3953.00,96.25
3952.00,96.32
3951.00,96.37
3950.00,96.39
3949.00,96.38
3948.00,96.37
3947.00,96.36
3946.00,96.36
3945.00,96.35
3944.00,96.33
3943.00,96.31
3942.00,96.30
3941.00,96.30
3940.00,96.31
3939.00,96.30
3938.00,96.24
3937.00,96.17
3936.00,96.11
3935.00,96.08
3934.00,96.08
3933.00,96.10
3932.00,96.11
3931.00,96.10
3930.00,96.09
3929.00,96.10
3928.00,96.14
3927.00,96.21
3926.00,96.27
3925.00,96.31
3924.00,96.33
3923.00,96.34
3922.00,96.36
3921.00,96.40
3920.00,96.44
3919.00,96.47
3918.00,96.45
3917.00,96.39
3916.00,96.33
3915.00,96.29
3914.00,96.28
3913.00,96.30
3912.00,96.34
3911.00,96.36
3910.00,96.34
3909.00,96.29
3908.00,96.24
3907.00,96.25
3906.00,96.33
3905.00,96.46
3904.00,96.54
3903.00,96.51
3902.00,96.38
3901.00,96.25
3900.00,96.16
3899.00,96.12
3898.00,96.11
3897.00,96.10
3896.00,96.10
3895.00,96.10
3894.00,96.10
3893.00,96.10
3892.00,96.12
3891.00,96.15
3890.00,96.18
3889.00,96.23
3888.00,96.27
3887.00,96.31
3886.00,96.32
3885.00,96.30
3884.00,96.28
3883.00,96.28
3882.00,96.29
3881.00,96.31
3880.00,96.33
3879.00,96.34
3878.00,96.34
3877.00,96.34
3876.00,96.35
3875.00,96.35
3874.00,96.34
3873.00,96.33
3872.00,96.34
3871.00,96.39
3870.00,96.44
3869.00,96.45
3868.00,96.44
3867.00,96.43
3866.00,96.45
3865.00,96.48
3864.00,96.46
3863.00,96.39
3862.00,96.29
3861.00,96.21
3860.00,96.17
3859.00,96.17
3858.00,96.18
3857.00,96.24
3856.00,96.38
3855.00,96.61
3854.00,96.79
3853.00,96.74
3852.00,96.51
3851.00,96.29
3850.00,96.16
3849.00,96.10
3848.00,96.11
3847.00,96.14
3846.00,96.18
3845.00,96.22
3844.00,96.26
3843.00,96.29
3842.00,96.33
3841.00,96.37
3840.00,96.40
3839.00,96.40
3838.00,96.38
3837.00,96.37
3836.00,96.37
3835.00,96.38
3834.00,96.37
3833.00,96.36
3832.00,96.33
3831.00,96.32
3830.00,96.33
3829.00,96.32
3828.00,96.26
3827.00,96.16
3826.00,96.06
3825.00,96.02
3824.00,96.08
3823.00,96.22
3822.00,96.38
3821.00,96.46
3820.00,96.42
3819.00,96.36
3818.00,96.33
3817.00,96.36
3816.00,96.40
3815.00,96.42
3814.00,96.40
3813.00,96.36
3812.00,96.33
3811.00,96.31
3810.00,96.29
3809.00,96.27
3808.00,96.23
3807.00,96.15
3806.00,96.09
3805.00,96.06
3804.00,96.08
3803.00,96.12
3802.00,96.16
3801.00,96.18
3800.00,96.20
3799.00,96.22
3798.00,96.25
3797.00,96.25
3796.00,96.22
3795.00,96.17
3794.00,96.13
3793.00,96.12
3792.00,96.13
3791.00,96.14
3790.00,96.12
3789.00,96.09
3788.00,96.06
3787.00,96.06
3786.00,96.09
3785.00,96.10
3784.00,96.08
3783.00,96.02
3782.00,95.98
3781.00,96.01
3780.00,96.12
3779.00,96.27
3778.00,96.38
3777.00,96.40
3776.00,96.35
3775.00,96.25
3774.00,96.15
3773.00,96.10
3772.00,96.13
3771.00,96.25
3770.00,96.39
3769.00,96.43
3768.00,96.36
3767.00,96.20
3766.00,96.06
3765.00,95.99
3764.00,96.01
3763.00,96.07
3762.00,96.11
3761.00,96.10
3760.00,96.06
3759.00,96.03
3758.00,96.03
3757.00,96.06
3756.00,96.11
3755.00,96.16
3754.00,96.21
3753.00,96.28
3752.00,96.31
3751.00,96.21
3750.00,96.00
3749.00,95.79
3748.00,95.67
3747.00,95.64
3746.00,95.68
3745.00,95.72
3744.00,95.71
3743.00,95.66
3742.00,95.61
3741.00,95.56
3740.00,95.52
3739.00,95.47
3738.00,95.44
3737.00,95.45
3736.00,95.52
3735.00,95.60
3734.00,95.65
3733.00,95.64
3732.00,95.62
3731.00,95.59
3730.00,95.58
3729.00,95.58
3728.00,95.61
3727.00,95.68
3726.00,95.75
3725.00,95.80
3724.00,95.80
3723.00,95.77
3722.00,95.73
3721.00,95.68
3720.00,95.60
3719.00,95.51
3718.00,95.42
3717.00,95.34
3716.00,95.28
3715.00,95.24
3714.00,95.25
3713.00,95.30
3712.00,95.36
3711.00,95.38
3710.00,95.34
3709.00,95.26
3708.00,95.15
3707.00,95.05
3706.00,94.97
3705.00,94.92
3704.00,94.92
3703.00,94.94
3702.00,94.94
3701.00,94.88
3700.00,94.78
3699.00,94.67
3698.00,94.57
3697.00,94.47
3696.00,94.40
3695.00,94.35
3694.00,94.33
3693.00,94.34
3692.00,94.34
3691.00,94.29
3690.00,94.12
3689.00,93.84
3688.00,93.54
3687.00,93.31
3686.00,93.17
3685.00,93.11
3684.00,93.07
3683.00,93.02
3682.00,92.93
3681.00,92.80
3680.00,92.66
3679.00,92.52
3678.00,92.42
3677.00,92.36
3676.00,92.29
3675.00,92.18
3674.00,92.03
3673.00,91.87
3672.00,91.68
3671.00,91.47
3670.00,91.27
3669.00,91.12
3668.00,91.01
3667.00,90.89
3666.00,90.75
3665.00,90.58
3664.00,90.40
3663.00,90.23
3662.00,90.06
3661.00,89.90
3660.00,89.75
3659.00,89.60
3658.00,89.40
3657.00,89.15
3656.00,88.93
3655.00,88.80
3654.00,88.75
3653.00,88.74
3652.00,88.67
3651.00,88.44
3650.00,88.05
3649.00,87.65
3648.00,87.39
3647.00,87.26
3646.00,87.16
3645.00,87.06
