Created as New Dataset,Sample 001 By Administrator Date Thursday, December 10 2020
cm-1,%T
4000.00,98.90
3999.00,98.93
3998.00,98.96
3997.00,98.96
3996.00,98.92
3995.00,98.86
3994.00,98.80
3993.00,98.78
3992.00,98.78
3991.00,98.80
3990.00,98.80
3989.00,98.78
3988.00,98.75
3987.00,98.74
3986.00,98.75
3985.00,98.77
3984.00,98.79
3983.00,98.81
3982.00,98.81
3981.00,98.79
3980.00,98.77
3979.00,98.76
3978.00,98.79
3977.00,98.84
3976.00,98.89
3975.00,98.91
3974.00,98.91
3973.00,98.88
3972.00,98.86
3971.00,98.85
3970.00,98.84
3969.00,98.82
3968.00,98.79
3967.00,98.76
3966.00,98.73
3965.00,98.72
3964.00,98.72
3963.00,98.72
3962.00,98.72
3961.00,98.74
3960.00,98.77
3959.00,98.83
3958.00,98.89
3957.00,98.94
3956.00,98.97
3955.00,98.96
3954.00,98.92
3953.00,98.86
3952.00,98.81
3951.00,98.78
3950.00,98.78
3949.00,98.80
3948.00,98.81
3947.00,98.79
3946.00,98.77
3945.00,98.77
3944.00,98.79
3943.00,98.80
3942.00,98.80
3941.00,98.77
3940.00,98.75
3939.00,98.75
3938.00,98.78
3937.00,98.85
3936.00,98.91
3935.00,98.96
3934.00,98.96
3933.00,98.92
3932.00,98.86
3931.00,98.79
3930.00,98.74
3929.00,98.70
3928.00,98.68
3927.00,98.70
3926.00,98.75
3925.00,98.82
3924.00,98.87
3923.00,98.88
3922.00,98.88
3921.00,98.87
3920.00,98.87
3919.00,98.86
3918.00,98.84
3917.00,98.83
3916.00,98.84
3915.00,98.85
3914.00,98.86
3913.00,98.85
3912.00,98.83
3911.00,98.81
3910.00,98.79
3909.00,98.79
3908.00,98.79
3907.00,98.80
3906.00,98.82
3905.00,98.83
3904.00,98.82
3903.00,98.80
3902.00,98.79
3901.00,98.79
3900.00,98.82
3899.00,98.85
3898.00,98.86
3897.00,98.85
3896.00,98.83
3895.00,98.83
3894.00,98.85
3893.00,98.88
3892.00,98.89
3891.00,98.87
3890.00,98.83
3889.00,98.81
3888.00,98.81
3887.00,98.83
3886.00,98.87
3885.00,98.86
3884.00,98.81
3883.00,98.73
3882.00,98.67
3881.00,98.67
3880.00,98.70
3879.00,98.72
3878.00,98.69
3877.00,98.63
3876.00,98.57
3875.00,98.56
3874.00,98.62
3873.00,98.72
3872.00,98.80
3871.00,98.84
3870.00,98.86
3869.00,98.86
3868.00,98.87
3867.00,98.87
3866.00,98.85
3865.00,98.82
3864.00,98.79
3863.00,98.77
3862.00,98.75
3861.00,98.75
3860.00,98.75
3859.00,98.75
3858.00,98.76
3857.00,98.77
3856.00,98.79
3855.00,98.80
3854.00,98.78
3853.00,98.76
3852.00,98.75
3851.00,98.76
3850.00,98.79
3849.00,98.82
3848.00,98.85
3847.00,98.86
3846.00,98.86
3845.00,98.85
3844.00,98.83
3843.00,98.81
3842.00,98.79
3841.00,98.76
3840.00,98.72
3839.00,98.70
3838.00,98.70
