Created as New Dataset,Sample 002 By Administrator Date Tuesday, December 15 2020
cm-1,%T
4000.00,98.37
3999.00,98.36
3998.00,98.33
3997.00,98.32
3996.00,98.33
3995.00,98.35
3994.00,98.37
3993.00,98.37
3992.00,98.34
3991.00,98.31
3990.00,98.30
3989.00,98.33
3988.00,98.36
3987.00,98.38
3986.00,98.35
3985.00,98.29
3984.00,98.23
3983.00,98.21
3982.00,98.24
3981.00,98.28
3980.00,98.32
3979.00,98.35
3978.00,98.36
3977.00,98.37
3976.00,98.35
3975.00,98.29
3974.00,98.24
3973.00,98.22
3972.00,98.28
3971.00,98.38
3970.00,98.47
3969.00,98.51
3968.00,98.49
3967.00,98.43
3966.00,98.34
3965.00,98.25
3964.00,98.16
3963.00,98.12
3962.00,98.15
3961.00,98.24
3960.00,98.35
3959.00,98.41
3958.00,98.39
3957.00,98.33
3956.00,98.26
3955.00,98.23
3954.00,98.25
3953.00,98.28
3952.00,98.32
3951.00,98.35
3950.00,98.38
3949.00,98.40
3948.00,98.41
3947.00,98.40
3946.00,98.36
3945.00,98.31
3944.00,98.30
3943.00,98.33
3942.00,98.38
3941.00,98.42
3940.00,98.42
3939.00,98.36
3938.00,98.28
3937.00,98.19
3936.00,98.13
3935.00,98.11
3934.00,98.11
3933.00,98.12
3932.00,98.12
3931.00,98.12
3930.00,98.14
3929.00,98.17
3928.00,98.21
3927.00,98.24
3926.00,98.25
3925.00,98.25
3924.00,98.24
3923.00,98.24
3922.00,98.25
3921.00,98.28
3920.00,98.31
3919.00,98.35
3918.00,98.37
3917.00,98.39
3916.00,98.40
3915.00,98.40
3914.00,98.40
3913.00,98.39
3912.00,98.39
3911.00,98.40
3910.00,98.40
3909.00,98.40
3908.00,98.39
3907.00,98.41
3906.00,98.45
3905.00,98.48
3904.00,98.46
3903.00,98.36
3902.00,98.22
3901.00,98.11
3900.00,98.08
3899.00,98.13
3898.00,98.19
3897.00,98.24
3896.00,98.29
3895.00,98.32
3894.00,98.36
3893.00,98.40
3892.00,98.43
3891.00,98.44
3890.00,98.44
3889.00,98.43
3888.00,98.43
3887.00,98.41
3886.00,98.38
3885.00,98.35
3884.00,98.35
3883.00,98.37
3882.00,98.43
3881.00,98.48
3880.00,98.51
3879.00,98.51
3878.00,98.50
3877.00,98.49
3876.00,98.47
3875.00,98.46
3874.00,98.47
3873.00,98.53
3872.00,98.61
3871.00,98.64
3870.00,98.57
3869.00,98.43
3868.00,98.31
3867.00,98.29
3866.00,98.38
3865.00,98.52
3864.00,98.61
3863.00,98.60
3862.00,98.52
3861.00,98.45
3860.00,98.42
3859.00,98.42
3858.00,98.43
3857.00,98.47
3856.00,98.54
3855.00,98.65
3854.00,98.70
3853.00,98.58
3852.00,98.38
3851.00,98.23
3850.00,98.18
3849.00,98.18
3848.00,98.22
3847.00,98.27
3846.00,98.32
3845.00,98.39
3844.00,98.47
3843.00,98.57
3842.00,98.65
3841.00,98.69
3840.00,98.70
3839.00,98.67
3838.00,98.65
3837.00,98.65
3836.00,98.66
3835.00,98.65
3834.00,98.60
3833.00,98.51
3832.00,98.41
3831.00,98.35
3830.00,98.35
3829.00,98.37
3828.00,98.37
3827.00,98.35
3826.00,98.30
3825.00,98.27
3824.00,98.27
3823.00,98.32
3822.00,98.41
3821.00,98.52
3820.00,98.61
3819.00,98.61
3818.00,98.56
3817.00,98.46
3816.00,98.36
3815.00,98.29
3814.00,98.27
3813.00,98.27
3812.00,98.29
3811.00,98.30
3810.00,98.30
3809.00,98.27
3808.00,98.24
3807.00,98.21
3806.00,98.19
3805.00,98.17
3804.00,98.13
3803.00,98.08
3802.00,98.05
3801.00,98.04
3800.00,98.06
3799.00,98.08
3798.00,98.10
3797.00,98.11
3796.00,98.12
3795.00,98.14
3794.00,98.18
3793.00,98.26
3792.00,98.35
3791.00,98.42
3790.00,98.42
3789.00,98.36
3788.00,98.28
3787.00,98.21
3786.00,98.18
3785.00,98.18
3784.00,98.19
3783.00,98.18
3782.00,98.18
3781.00,98.17
3780.00,98.20
3779.00,98.27
3778.00,98.35
3777.00,98.41
3776.00,98.40
3775.00,98.35
3774.00,98.27
3773.00,98.22
3772.00,98.22
3771.00,98.29
3770.00,98.39
3769.00,98.46
3768.00,98.45
3767.00,98.34
3766.00,98.18
3765.00,98.05
3764.00,97.98
3763.00,97.98
3762.00,98.01
3761.00,98.03
3760.00,98.03
3759.00,98.02
3758.00,98.02
3757.00,98.01
3756.00,98.01
3755.00,98.03
3754.00,98.12
3753.00,98.28
3752.00,98.42
3751.00,98.35
3750.00,98.07
3749.00,97.76
3748.00,97.57
3747.00,97.51
3746.00,97.56
3745.00,97.70
3744.00,97.83
3743.00,97.90
3742.00,97.89
3741.00,97.83
3740.00,97.76
3739.00,97.72
3738.00,97.74
3737.00,97.82
3736.00,97.92
3735.00,97.98
3734.00,97.96
3733.00,97.89
3732.00,97.81
3731.00,97.75
3730.00,97.71
3729.00,97.71
3728.00,97.73
3727.00,97.79
3726.00,97.87
3725.00,97.95
3724.00,98.00
3723.00,98.02
3722.00,97.97
3721.00,97.87
3720.00,97.75
3719.00,97.65
3718.00,97.55
3717.00,97.46
3716.00,97.39
3715.00,97.35
3714.00,97.34
3713.00,97.34
3712.00,97.33
3711.00,97.30
3710.00,97.27
3709.00,97.23
3708.00,97.18
3707.00,97.12
3706.00,97.06
3705.00,97.00
3704.00,96.96
3703.00,96.95
3702.00,96.94
3701.00,96.91
3700.00,96.83
3699.00,96.73
3698.00,96.62
3697.00,96.56
3696.00,96.57
3695.00,96.62
3694.00,96.70
3693.00,96.78
3692.00,96.80
3691.00,96.70
3690.00,96.44
3689.00,96.11
3688.00,95.85
3687.00,95.69
3686.00,95.59
3685.00,95.51
3684.00,95.43
3683.00,95.36
3682.00,95.28
3681.00,95.20
3680.00,95.11
3679.00,95.01
3678.00,94.93
3677.00,94.87
3676.00,94.81
3675.00,94.74
3674.00,94.64
3673.00,94.52
3672.00,94.37
3671.00,94.16
3670.00,93.93
3669.00,93.76
3668.00,93.64
3667.00,93.51
3666.00,93.37
3665.00,93.21
3664.00,93.04
3663.00,92.87
3662.00,92.71
3661.00,92.55
3660.00,92.42
3659.00,92.29
3658.00,92.15
3657.00,91.96
3656.00,91.74
3655.00,91.56
3654.00,91.42
3653.00,91.29
3652.00,91.10
3651.00,90.84
3650.00,90.58
3649.00,90.43
3648.00,90.36
3647.00,90.24
3646.00,90.08
3645.00,89.91
3644.00,89.73
3643.00,89.54
3642.00,89.37
3641.00,89.24
3640.00,89.14
3639.00,89.06
3638.00,88.94
3637.00,88.80
3636.00,88.62
3635.00,88.44
3634.00,88.28
3633.00,88.18
3632.00,88.14
3631.00,88.11
3630.00,87.97
3629.00,87.64
3628.00,87.25
3627.00,86.97
3626.00,86.79
3625.00,86.64
3624.00,86.50
3623.00,86.37
3622.00,86.28
3621.00,86.23
3620.00,86.16
3619.00,86.02
3618.00,85.84
3617.00,85.69
3616.00,85.60
3615.00,85.51
3614.00,85.38
3613.00,85.19
3612.00,85.00
3611.00,84.84
3610.00,84.67
3609.00,84.47
3608.00,84.26
3607.00,84.09
3606.00,83.98
3605.00,83.88
3604.00,83.76
3603.00,83.60
3602.00,83.40
3601.00,83.19
3600.00,82.99
3599.00,82.85
3598.00,82.76
3597.00,82.67
3596.00,82.55
3595.00,82.40
3594.00,82.24
3593.00,82.10
3592.00,81.95
3591.00,81.80
3590.00,81.61
3589.00,81.40
3588.00,81.17
3587.00,80.95
3586.00,80.78
3585.00,80.64
3584.00,80.50
3583.00,80.33
3582.00,80.13
3581.00,79.90
3580.00,79.69
3579.00,79.55
3578.00,79.47
3577.00,79.37
3576.00,79.21
3575.00,79.01
3574.00,78.81
3573.00,78.65
3572.00,78.55
3571.00,78.50
3570.00,78.44
3569.00,78.32
3568.00,78.06
3567.00,77.71
3566.00,77.38
3565.00,77.18
3564.00,77.04
3563.00,76.92
3562.00,76.79
3561.00,76.64
3560.00,76.51
3559.00,76.37
3558.00,76.21
3557.00,76.01
3556.00,75.78
3555.00,75.58
3554.00,75.42
3553.00,75.31
3552.00,75.21
3551.00,75.09
3550.00,74.90
3549.00,74.66
3548.00,74.41
3547.00,74.20
3546.00,74.03
3545.00,73.90
3544.00,73.76
3543.00,73.62
3542.00,73.49
3541.00,73.37
3540.00,73.23
3539.00,73.09
3538.00,72.95
3537.00,72.83
3536.00,72.72
3535.00,72.59
3534.00,72.42
3533.00,72.22
3532.00,72.01
3531.00,71.80
3530.00,71.61
3529.00,71.44
3528.00,71.30
3527.00,71.16
3526.00,71.01
3525.00,70.81
3524.00,70.58
3523.00,70.37
3522.00,70.22
3521.00,70.11
3520.00,69.99
3519.00,69.83
3518.00,69.63
3517.00,69.43
3516.00,69.25
3515.00,69.11
3514.00,68.99
3513.00,68.86
3512.00,68.71
3511.00,68.55
3510.00,68.41
3509.00,68.29
3508.00,68.19
3507.00,68.08
3506.00,67.93
3505.00,67.71
3504.00,67.44
3503.00,67.18
3502.00,66.97
3501.00,66.82
3500.00,66.70
3499.00,66.59
3498.00,66.50
3497.00,66.43
3496.00,66.35
3495.00,66.23
3494.00,66.06
3493.00,65.85
3492.00,65.61
3491.00,65.36
3490.00,65.13
3489.00,64.92
3488.00,64.74
3487.00,64.60
3486.00,64.47
3485.00,64.37
3484.00,64.31
3483.00,64.28
3482.00,64.26
3481.00,64.21
3480.00,64.12
3479.00,63.99
3478.00,63.83
3477.00,63.63
3476.00,63.40
3475.00,63.19
3474.00,63.02
3473.00,62.92
3472.00,62.82
3471.00,62.68
3470.00,62.48
3469.00,62.24
3468.00,62.03
3467.00,61.85
3466.00,61.70
3465.00,61.56
3464.00,61.42
3463.00,61.28
3462.00,61.15
3461.00,61.04
3460.00,60.96
3459.00,60.90
3458.00,60.82
3457.00,60.68
3456.00,60.50
3455.00,60.30
3454.00,60.13
3453.00,59.98
3452.00,59.84
3451.00,59.71
3450.00,59.57
3449.00,59.43
3448.00,59.30
3447.00,59.17
3446.00,59.06
3445.00,58.92
3444.00,58.75
3443.00,58.54
3442.00,58.35
3441.00,58.19
3440.00,58.07
3439.00,57.94
3438.00,57.81
3437.00,57.68
3436.00,57.59
3435.00,57.52
3434.00,57.46
3433.00,57.40
3432.00,57.33
3431.00,57.25
3430.00,57.15
3429.00,57.02
3428.00,56.88
3427.00,56.75
3426.00,56.62
3425.00,56.50
3424.00,56.38
3423.00,56.28
3422.00,56.20
3421.00,56.14
3420.00,56.07
3419.00,55.97
3418.00,55.84
3417.00,55.68
3416.00,55.49
3415.00,55.30
3414.00,55.12
3413.00,55.01
3412.00,54.96
3411.00,54.93
3410.00,54.88
3409.00,54.77
3408.00,54.61
3407.00,54.46
3406.00,54.34
3405.00,54.25
3404.00,54.16
3403.00,54.05
3402.00,53.93
3401.00,53.82
3400.00,53.75
3399.00,53.71
3398.00,53.66
3397.00,53.58
3396.00,53.51
3395.00,53.46
3394.00,53.43
3393.00,53.37
3392.00,53.27
3391.00,53.17
3390.00,53.09
3389.00,53.04
3388.00,53.04
3387.00,53.05
3386.00,53.03
3385.00,52.94
3384.00,52.78
3383.00,52.61
3382.00,52.49
3381.00,52.44
3380.00,52.41
3379.00,52.38
3378.00,52.32
3377.00,52.27
3376.00,52.25
3375.00,52.24
3374.00,52.18
3373.00,52.05
3372.00,51.89
3371.00,51.76
3370.00,51.68
3369.00,51.65
3368.00,51.64
3367.00,51.64
3366.00,51.66
3365.00,51.67
3364.00,51.65
3363.00,51.62
3362.00,51.58
3361.00,51.57
3360.00,51.58
3359.00,51.57
3358.00,51.54
3357.00,51.46
3356.00,51.38
3355.00,51.33
3354.00,51.33
3353.00,51.35
3352.00,51.39
3351.00,51.41
3350.00,51.41
3349.00,51.36
3348.00,51.29
3347.00,51.23
