Created as New Dataset,Sample 005 By Administrator Date Thursday, December 10 2020
cm-1,%T
4000.00,95.14
3999.00,95.16
3998.00,95.15
3997.00,95.12
3996.00,95.08
3995.00,95.04
3994.00,95.02
3993.00,95.02
3992.00,95.01
3991.00,94.99
3990.00,94.97
3989.00,94.95
3988.00,94.95
3987.00,94.97
3986.00,95.00
3985.00,95.01
3984.00,95.01
3983.00,95.00
3982.00,94.99
3981.00,94.98
3980.00,94.97
3979.00,94.96
3978.00,94.95
3977.00,94.95
3976.00,94.97
3975.00,95.00
3974.00,95.03
3973.00,95.03
3972.00,95.03
3971.00,95.03
3970.00,95.03
3969.00,95.03
3968.00,95.03
3967.00,95.03
3966.00,95.02
3965.00,95.02
3964.00,95.02
3963.00,95.04
3962.00,95.06
3961.00,95.09
3960.00,95.13
3959.00,95.16
3958.00,95.16
3957.00,95.13
3956.00,95.09
3955.00,95.05
3954.00,95.03
3953.00,95.02
3952.00,95.04
3951.00,95.06
3950.00,95.08
3949.00,95.11
3948.00,95.12
3947.00,95.11
3946.00,95.10
3945.00,95.09
3944.00,95.09
3943.00,95.09
3942.00,95.07
3941.00,95.05
3940.00,95.03
3939.00,95.02
3938.00,95.03
3937.00,95.04
3936.00,95.06
3935.00,95.09
3934.00,95.11
3933.00,95.13
3932.00,95.14
3931.00,95.13
3930.00,95.10
3929.00,95.07
3928.00,95.06
3927.00,95.07
3926.00,95.11
3925.00,95.15
3924.00,95.18
3923.00,95.17
3922.00,95.15
3921.00,95.12
3920.00,95.10
3919.00,95.09
3918.00,95.10
3917.00,95.11
3916.00,95.13
3915.00,95.13
3914.00,95.11
3913.00,95.09
3912.00,95.07
3911.00,95.06
3910.00,95.06
3909.00,95.07
3908.00,95.09
3907.00,95.11
3906.00,95.13
3905.00,95.12
3904.00,95.05
3903.00,94.96
3902.00,94.90
3901.00,94.90
3900.00,94.96
3899.00,95.03
3898.00,95.09
3897.00,95.14
3896.00,95.18
3895.00,95.24
3894.00,95.31
3893.00,95.37
3892.00,95.37
3891.00,95.31
3890.00,95.20
3889.00,95.11
3888.00,95.05
3887.00,95.02
3886.00,95.02
3885.00,95.02
3884.00,95.02
3883.00,95.03
3882.00,95.06
3881.00,95.09
3880.00,95.10
3879.00,95.09
3878.00,95.07
3877.00,95.07
3876.00,95.08
3875.00,95.09
3874.00,95.12
3873.00,95.14
3872.00,95.19
3871.00,95.23
3870.00,95.25
3869.00,95.23
3868.00,95.19
3867.00,95.13
3866.00,95.07
3865.00,95.02
3864.00,95.00
3863.00,95.03
3862.00,95.07
3861.00,95.09
3860.00,95.07
3859.00,95.02
3858.00,94.98
3857.00,94.99
3856.00,95.05
3855.00,95.13
3854.00,95.14
3853.00,95.03
3852.00,94.90
3851.00,94.85
3850.00,94.85
3849.00,94.88
3848.00,94.93
3847.00,94.99
3846.00,95.05
3845.00,95.12
3844.00,95.18
3843.00,95.24
3842.00,95.26
3841.00,95.22
3840.00,95.12
3839.00,95.00
3838.00,94.91
3837.00,94.87
3836.00,94.86
3835.00,94.88
3834.00,94.91
3833.00,94.95
3832.00,94.99
3831.00,95.03
3830.00,95.05
3829.00,95.05
3828.00,95.05
3827.00,95.04
3826.00,95.02
3825.00,95.01
3824.00,95.02
3823.00,95.06
3822.00,95.11
3821.00,95.12
3820.00,95.09
3819.00,95.07
3818.00,95.08
3817.00,95.10
3816.00,95.11
3815.00,95.08
3814.00,95.04
3813.00,95.03
3812.00,95.03
3811.00,95.05
3810.00,95.07
3809.00,95.06
3808.00,95.01
3807.00,94.95
3806.00,94.90
3805.00,94.88
3804.00,94.88
3803.00,94.89
3802.00,94.91
3801.00,94.92
3800.00,94.90
3799.00,94.88
3798.00,94.87
3797.00,94.89
3796.00,94.94
3795.00,94.98
3794.00,95.01
3793.00,95.03
3792.00,95.05
3791.00,95.06
3790.00,95.06
3789.00,95.05
3788.00,95.04
3787.00,95.02
3786.00,94.99
3785.00,94.95
3784.00,94.87
3783.00,94.80
3782.00,94.75
3781.00,94.76
3780.00,94.83
3779.00,94.90
3778.00,94.93
3777.00,94.93
3776.00,94.91
3775.00,94.91
3774.00,94.94
3773.00,94.97
3772.00,94.99
3771.00,94.97
3770.00,94.92
3769.00,94.86
3768.00,94.81
3767.00,94.80
3766.00,94.81
3765.00,94.82
3764.00,94.85
3763.00,94.87
3762.00,94.89
3761.00,94.89
3760.00,94.87
3759.00,94.82
3758.00,94.78
3757.00,94.79
3756.00,94.82
3755.00,94.84
3754.00,94.83
3753.00,94.78
3752.00,94.71
3751.00,94.63
3750.00,94.54
3749.00,94.46
3748.00,94.42
3747.00,94.42
3746.00,94.44
3745.00,94.45
3744.00,94.44
3743.00,94.43
3742.00,94.45
3741.00,94.45
3740.00,94.42
3739.00,94.34
3738.00,94.25
3737.00,94.18
3736.00,94.15
3735.00,94.14
3734.00,94.13
3733.00,94.13
3732.00,94.18
3731.00,94.26
3730.00,94.32
3729.00,94.36
3728.00,94.36
3727.00,94.34
3726.00,94.29
3725.00,94.22
3724.00,94.15
3723.00,94.11
3722.00,94.12
3721.00,94.17
3720.00,94.22
3719.00,94.26
3718.00,94.28
3717.00,94.29
3716.00,94.29
3715.00,94.28
3714.00,94.27
3713.00,94.27
3712.00,94.27
3711.00,94.20
3710.00,94.08
3709.00,93.95
3708.00,93.87
3707.00,93.83
3706.00,93.80
3705.00,93.76
3704.00,93.69
3703.00,93.62
3702.00,93.56
3701.00,93.53
3700.00,93.51
3699.00,93.47
3698.00,93.40
3697.00,93.32
3696.00,93.25
3695.00,93.18
3694.00,93.13
3693.00,93.07
3692.00,92.99
3691.00,92.89
3690.00,92.75
3689.00,92.58
3688.00,92.43
3687.00,92.31
3686.00,92.25
3685.00,92.21
3684.00,92.15
3683.00,92.07
3682.00,91.93
3681.00,91.78
3680.00,91.63
3679.00,91.52
3678.00,91.42
3677.00,91.29
3676.00,91.13
3675.00,91.00
