Created as New Dataset,Sample 003 By Administrator Date Thursday, December 10 2020
cm-1,%T
4000.00,95.96
3999.00,95.96
3998.00,95.97
3997.00,95.97
3996.00,95.92
3995.00,95.84
3994.00,95.77
3993.00,95.72
3992.00,95.72
3991.00,95.74
3990.00,95.76
3989.00,95.77
3988.00,95.78
3987.00,95.80
3986.00,95.82
3985.00,95.83
3984.00,95.83
3983.00,95.80
3982.00,95.77
3981.00,95.75
3980.00,95.75
3979.00,95.78
3978.00,95.83
3977.00,95.88
3976.00,95.92
3975.00,95.94
3974.00,95.95
3973.00,95.96
3972.00,95.95
3971.00,95.94
3970.00,95.91
3969.00,95.88
3968.00,95.86
3967.00,95.85
3966.00,95.86
3965.00,95.88
3964.00,95.88
3963.00,95.89
3962.00,95.90
3961.00,95.92
3960.00,95.94
3959.00,95.96
3958.00,95.98
3957.00,95.98
3956.00,95.96
3955.00,95.92
3954.00,95.87
3953.00,95.79
3952.00,95.72
3951.00,95.69
3950.00,95.70
3949.00,95.75
3948.00,95.82
3947.00,95.89
3946.00,95.96
3945.00,96.01
3944.00,96.05
3943.00,96.06
3942.00,96.03
3941.00,95.99
3940.00,95.99
3939.00,96.01
3938.00,96.06
3937.00,96.09
3936.00,96.12
3935.00,96.13
3934.00,96.12
3933.00,96.09
3932.00,96.06
3931.00,96.02
3930.00,95.99
3929.00,95.97
3928.00,95.97
3927.00,95.99
3926.00,96.01
3925.00,96.03
3924.00,96.02
3923.00,95.99
3922.00,95.95
3921.00,95.91
3920.00,95.89
3919.00,95.91
3918.00,95.94
3917.00,95.98
3916.00,95.99
3915.00,95.99
3914.00,95.97
3913.00,95.95
3912.00,95.93
3911.00,95.92
3910.00,95.91
3909.00,95.92
3908.00,95.94
3907.00,95.97
3906.00,96.00
3905.00,95.99
3904.00,95.95
3903.00,95.87
3902.00,95.79
3901.00,95.76
3900.00,95.79
3899.00,95.88
3898.00,95.97
3897.00,96.05
3896.00,96.10
3895.00,96.12
3894.00,96.12
3893.00,96.08
3892.00,96.02
3891.00,95.95
3890.00,95.90
3889.00,95.87
3888.00,95.86
3887.00,95.88
3886.00,95.94
3885.00,96.02
3884.00,96.06
3883.00,96.07
3882.00,96.05
3881.00,96.02
3880.00,95.99
3879.00,95.95
3878.00,95.91
3877.00,95.89
3876.00,95.89
3875.00,95.93
3874.00,95.99
3873.00,96.06
3872.00,96.12
3871.00,96.15
3870.00,96.12
3869.00,96.06
3868.00,95.98
3867.00,95.92
3866.00,95.89
3865.00,95.89
3864.00,95.91
3863.00,95.94
3862.00,95.96
3861.00,95.97
3860.00,95.96
3859.00,95.93
3858.00,95.89
3857.00,95.84
3856.00,95.76
3855.00,95.66
3854.00,95.56
3853.00,95.54
3852.00,95.60
3851.00,95.69
3850.00,95.77
3849.00,95.84
3848.00,95.90
3847.00,95.94
3846.00,95.96
3845.00,95.94
3844.00,95.89
3843.00,95.84
3842.00,95.82
3841.00,95.81
3840.00,95.82
3839.00,95.83
3838.00,95.82
3837.00,95.79
3836.00,95.75
3835.00,95.73
3834.00,95.73
3833.00,95.76
3832.00,95.80
3831.00,95.83
3830.00,95.84
3829.00,95.84
3828.00,95.85
3827.00,95.87
3826.00,95.88
3825.00,95.86
3824.00,95.82
3823.00,95.79
3822.00,95.80
3821.00,95.86
3820.00,95.94
3819.00,96.00
3818.00,96.04
3817.00,96.06
3816.00,96.05
3815.00,96.02
3814.00,96.00
3813.00,96.00
3812.00,96.01
3811.00,96.02
3810.00,96.00
3809.00,95.96
3808.00,95.89
3807.00,95.82
3806.00,95.76
3805.00,95.71
3804.00,95.67
3803.00,95.66
3802.00,95.70
3801.00,95.76
3800.00,95.80
3799.00,95.80
3798.00,95.80
3797.00,95.83
