Created as New Dataset,Sample 002 By Administrator Date Thursday, December 10 2020
cm-1,%T
4000.00,98.07
3999.00,98.10
3998.00,98.09
3997.00,98.04
3996.00,97.98
3995.00,97.92
3994.00,97.90
3993.00,97.93
3992.00,97.97
3991.00,97.99
3990.00,97.97
3989.00,97.91
3988.00,97.87
3987.00,97.86
3986.00,97.89
3985.00,97.92
3984.00,97.94
3983.00,97.93
3982.00,97.92
3981.00,97.91
3980.00,97.92
3979.00,97.92
3978.00,97.90
3977.00,97.88
3976.00,97.87
3975.00,97.88
3974.00,97.89
3973.00,97.92
3972.00,97.94
3971.00,97.97
3970.00,97.99
3969.00,97.98
3968.00,97.96
3967.00,97.92
3966.00,97.89
3965.00,97.88
3964.00,97.89
3963.00,97.89
3962.00,97.89
3961.00,97.90
3960.00,97.93
3959.00,97.98
3958.00,98.03
3957.00,98.06
3956.00,98.07
3955.00,98.06
3954.00,98.04
3953.00,98.03
3952.00,98.03
3951.00,98.03
3950.00,98.02
3949.00,98.01
3948.00,97.98
3947.00,97.95
3946.00,97.94
3945.00,97.95
3944.00,97.96
3943.00,97.98
3942.00,97.99
3941.00,98.00
3940.00,98.01
3939.00,98.00
3938.00,97.99
3937.00,97.98
3936.00,97.97
3935.00,97.96
3934.00,97.96
3933.00,97.95
3932.00,97.94
3931.00,97.94
3930.00,97.96
3929.00,97.99
3928.00,98.02
3927.00,98.04
3926.00,98.04
3925.00,98.04
3924.00,98.03
3923.00,98.02
3922.00,98.01
3921.00,97.99
3920.00,97.97
3919.00,97.96
3918.00,97.95
3917.00,97.95
3916.00,97.96
3915.00,97.98
3914.00,98.01
3913.00,98.02
3912.00,98.02
3911.00,98.00
3910.00,97.97
3909.00,97.97
3908.00,98.01
3907.00,98.06
3906.00,98.12
3905.00,98.14
3904.00,98.13
3903.00,98.10
3902.00,98.07
3901.00,98.05
3900.00,98.02
3899.00,97.98
3898.00,97.94
3897.00,97.94
3896.00,97.97
3895.00,98.04
3894.00,98.13
3893.00,98.18
3892.00,98.19
3891.00,98.14
3890.00,98.09
3889.00,98.08
3888.00,98.10
3887.00,98.15
3886.00,98.18
3885.00,98.16
3884.00,98.08
3883.00,97.98
3882.00,97.90
3881.00,97.87
3880.00,97.91
3879.00,97.96
3878.00,97.99
3877.00,97.99
3876.00,97.96
3875.00,97.94
3874.00,97.94
3873.00,98.00
3872.00,98.09
3871.00,98.18
3870.00,98.19
3869.00,98.12
3868.00,98.02
3867.00,97.93
3866.00,97.88
3865.00,97.90
3864.00,97.97
3863.00,98.04
3862.00,98.09
3861.00,98.08
3860.00,98.03
3859.00,97.95
3858.00,97.88
3857.00,97.84
3856.00,97.82
3855.00,97.81
3854.00,97.77
3853.00,97.73
3852.00,97.72
3851.00,97.76
3850.00,97.82
3849.00,97.90
3848.00,97.97
3847.00,98.01
3846.00,98.02
3845.00,98.02
3844.00,98.02
3843.00,98.04
3842.00,98.05
3841.00,98.05
3840.00,98.03
3839.00,98.02
3838.00,98.01
3837.00,97.99
3836.00,97.95
3835.00,97.91
3834.00,97.89
3833.00,97.87
3832.00,97.87
3831.00,97.87
3830.00,97.89
3829.00,97.94
3828.00,97.99
3827.00,98.01
3826.00,97.97
3825.00,97.89
3824.00,97.82
3823.00,97.79
3822.00,97.83
3821.00,97.87
3820.00,97.89
3819.00,97.89
3818.00,97.90
3817.00,97.94
3816.00,97.96
3815.00,97.97
3814.00,97.98
3813.00,98.00
3812.00,98.02
3811.00,98.03
3810.00,98.03
3809.00,98.02
3808.00,98.02
3807.00,98.01
3806.00,97.98
3805.00,97.94
3804.00,97.92
3803.00,97.93
3802.00,97.98
3801.00,98.01
3800.00,97.98
3799.00,97.92
3798.00,97.88
3797.00,97.88
3796.00,97.91
3795.00,97.93
3794.00,97.94
3793.00,97.94
3792.00,97.93
3791.00,97.91
3790.00,97.90
3789.00,97.88
3788.00,97.86
3787.00,97.84
3786.00,97.84
3785.00,97.86
3784.00,97.87
3783.00,97.86
3782.00,97.82
3781.00,97.78
3780.00,97.76
3779.00,97.78
3778.00,97.81
3777.00,97.83
3776.00,97.82
3775.00,97.80
3774.00,97.78
3773.00,97.79
3772.00,97.81
3771.00,97.83
3770.00,97.83
3769.00,97.78
3768.00,97.72
3767.00,97.68
3766.00,97.69
3765.00,97.75
3764.00,97.80
3763.00,97.82
3762.00,97.78
3761.00,97.71
3760.00,97.65
3759.00,97.62
3758.00,97.64
3757.00,97.67
3756.00,97.68
3755.00,97.67
3754.00,97.66
3753.00,97.67
3752.00,97.70
3751.00,97.66
3750.00,97.53
3749.00,97.41
3748.00,97.33
3747.00,97.30
3746.00,97.29
3745.00,97.27
3744.00,97.26
3743.00,97.30
3742.00,97.36
3741.00,97.43
3740.00,97.47
3739.00,97.47
3738.00,97.41
3737.00,97.31
3736.00,97.16
3735.00,97.02
3734.00,96.94
3733.00,96.95
