Created as New Dataset,Sample 004 By Administrator Date Thursday, December 10 2020
cm-1,%T
4000.00,94.75
3999.00,94.75
3998.00,94.75
3997.00,94.74
3996.00,94.73
3995.00,94.69
3994.00,94.63
3993.00,94.56
3992.00,94.51
3991.00,94.48
3990.00,94.49
3989.00,94.51
3988.00,94.53
3987.00,94.56
3986.00,94.61
3985.00,94.65
3984.00,94.69
3983.00,94.69
3982.00,94.69
3981.00,94.69
3980.00,94.71
3979.00,94.73
3978.00,94.74
3977.00,94.75
3976.00,94.74
3975.00,94.74
3974.00,94.74
3973.00,94.73
3972.00,94.73
3971.00,94.72
3970.00,94.71
3969.00,94.71
3968.00,94.69
3967.00,94.67
3966.00,94.65
3965.00,94.65
3964.00,94.67
3963.00,94.70
3962.00,94.73
3961.00,94.76
3960.00,94.79
3959.00,94.82
3958.00,94.84
3957.00,94.84
3956.00,94.81
3955.00,94.76
3954.00,94.72
3953.00,94.69
3952.00,94.66
3951.00,94.64
3950.00,94.62
3949.00,94.61
3948.00,94.58
3947.00,94.56
3946.00,94.55
3945.00,94.56
3944.00,94.59
3943.00,94.62
3942.00,94.65
3941.00,94.67
3940.00,94.67
3939.00,94.68
3938.00,94.69
3937.00,94.72
3936.00,94.75
3935.00,94.77
3934.00,94.78
3933.00,94.75
3932.00,94.71
3931.00,94.68
3930.00,94.68
3929.00,94.71
3928.00,94.75
3927.00,94.78
3926.00,94.80
3925.00,94.80
3924.00,94.79
3923.00,94.76
3922.00,94.70
3921.00,94.66
3920.00,94.63
3919.00,94.63
3918.00,94.66
3917.00,94.68
3916.00,94.70
3915.00,94.70
3914.00,94.70
3913.00,94.69
3912.00,94.69
3911.00,94.68
3910.00,94.67
3909.00,94.67
3908.00,94.68
3907.00,94.70
3906.00,94.72
3905.00,94.74
3904.00,94.76
3903.00,94.78
3902.00,94.77
3901.00,94.74
3900.00,94.72
3899.00,94.73
3898.00,94.77
3897.00,94.83
3896.00,94.87
3895.00,94.88
3894.00,94.87
3893.00,94.83
3892.00,94.81
3891.00,94.81
3890.00,94.82
3889.00,94.82
3888.00,94.82
3887.00,94.81
3886.00,94.80
3885.00,94.77
3884.00,94.72
3883.00,94.65
3882.00,94.60
3881.00,94.59
3880.00,94.63
3879.00,94.68
3878.00,94.71
3877.00,94.72
3876.00,94.74
3875.00,94.78
3874.00,94.85
3873.00,94.92
3872.00,94.94
3871.00,94.91
3870.00,94.82
3869.00,94.74
3868.00,94.70
3867.00,94.70
3866.00,94.72
3865.00,94.75
3864.00,94.79
3863.00,94.81
3862.00,94.81
3861.00,94.78
3860.00,94.73
3859.00,94.67
